isbn,section,title,page
9780122146909,2.7,Marginal Distributions,61
9780122146909,2.8,Convolutions,63
9780122146909,3.0,Summary,67
9780122146909,3.1,Schur Concavity and Related Concepts of Unimodality,67
9780122146909,3.2,Generalized Unimodality Indexed by a Positive Parameter,72
9780122146909,3.3,Classes of Concave Densities and Measures,84
9780122146909,4.0,Summary,101
9780122146909,4.1,The Structure of Unimodal Discrete Distributions,101
9780122146909,4.2,Convolutions of Discrete Unimodal Distributions and Strong Unimodality,108
9780122146909,4.3,Unimodality of High Convolutions,112
9780122146909,5.0,Summary,117
9780122146909,5.1,Infinitely Divisible Distributions,117
9780122146909,5.2,Unimodality of Symmetric Infinitely Divisible Distributions,122
9780122146909,5.3,The Unimodality of all Distributions in L,128
9780122146909,5.4,The Unimodality of Multivariate Infinitely Divisible Distributions,140
9780122146909,6.0,Summary,147
9780122146909,6.1,Preliminaries on Notions of Dependence,147
9780122146909,6.2,Monotonicity Properties of Probabilities Rectangular Regions,151
9780122146909,7.0,Summary,159
9780122146909,7.1,Basic Results on Peakedness Ordering,159
9780122146909,7.2,Peakedness Comparisons for the Multivariate Normal and Other Suitably Unimodal Distributions,165
9780122146909,7.3,The Use of Unimodality and Peakedness Comparisons in Determining the Recurrence of Symmetric Random Walks,173
9780122146909,8.0,Summary,177
9780122146909,8.1,Unimodality of the Likelihood Function,177
9780122146909,8.2,Estimation of a Mode,187
9780122146909,8.3,Monotonicity of the Power Functions of Certain Multivariate Tests,200
9780122146909,8.4,Shortest Confidence Intervals and Minimum Volume Confidence Regions,208
9780122146909,9.0,Summary,215
9780122146909,9.1,Some Orderings for Distributions of Nonnegative Random Variables,215
9780122146909,9.2,Univariate IFR and IFRA Classes,224
9780122146909,9.3,Multivariate IFR and IFRA Classes,233
9780122146909,9.4,Unimodality and Other Convexity Properties,243
9780122146909,A.1,Convex Sets in R[superscript n],249
9780122146909,A.2,Convergence of Probability Measures,252
9780122146909,A.3,Convex Sets of Probability Measures,254
9780122146909,A.4,The Brunn-Minkowski Inequality,259
9780123694638,1,Introduction to probability,1
9780123694638,2,"Random variables, moments, and distributions",83
9780123694638,3,Special discrete distributions,158
9780123694638,4,Special continuous distributions,215
9780123694638,5,"Sampling, data displays, measures of central tendencies, measures of dispersion, and simulation",269
9780123694638,6,Point and interval estimation,325
9780123694638,7,Hypothesis testing,386
9780123694638,8,Regression,455
9780123694638,9,Analysis of variance,547
9780123694638,10,Nonparametric statistics,609
9780125084659,Ch. 1,Linear Algebra and Related Introductory Topics,1
9780125084659,Ch. 2,Multivariate Normal Distribution,23
9780125084659,Ch. 3,Distributions of Quadratic Forms,41
9780125084659,Ch. 4,"Complete, Balanced Factorial Experiments",53
9780125084659,Ch. 5,Least-Squares Regression,81
9780125084659,Ch. 6,Maximum Likelihood Estimation and Related Topics,105
9780125084659,Ch. 7,Unbalanced Designs and Missing Data,131
9780125084659,Ch. 8,Balanced Incomplete Block Designs,149
9780125084659,Ch. 9,Less Than Full Rank Models,161
9780125084659,Ch. 10,The General Mixed Model,177
9780125084659,Appendix 1,Computer Output for Chapter 5,189
9780125084659,Appendix 2,Computer Output for Chapter 7,193
9780125084659,Appendix 3,Computer Output for Chapter 8,207
9780125084659,Appendix 4,Computer Output for Chapter 9,209
9780125084659,Appendix 5,Computer Output for Chapter 10,213
9780125804806,1,Background material and preliminaries,3
9780125804806,2,Independence and strong convergence,33
9780125804806,3,Conditioning and some dependence classes,103
9780125804806,4,Probability distributions and characteristic functions,223
9780125804806,5,Weak limit laws,291
9780125804806,6,"Stopping times, martingales, and convergences",411
9780125804806,7,Limit laws for some dependent sequences,429
9780125804806,8,A glimpse of stochastic processes,459
9780125980517,1,Probability,1
9780125980517,2,Some Examples,49
9780125980517,3,"Probability Bounds, Approximations, and Computations",75
9780125980517,4,Markov Chains,103
9780125980517,5,The Probabilistic Method,151
9780125980517,6,Martingales,175
9780125980517,7,Poisson Processes,199
9780125980517,8,Queueing Theory,221
9780125980517,9,Simulation,261
9780125980623,1,Introduction to Probability Theory,1
9780125980623,2,Random Variables,23
9780125980623,3,Conditional Probability and Conditional Expectation,93
9780125980623,4,Markov Chains,163
9780125980623,5,The Exponential Distribution and the Poisson Process,241
9780125980623,6,Continuous-Time Markov Chains,313
9780125980623,7,Renewal Theory and Its Applications,363
9780125980623,8,Queueing Theory,427
9780125980623,9,Reliability Theory,499
9780125980623,10,Brownian Motion and Stationary Processes,549
9780125980623,11,Simulation,585
9780125980630,1,Introduction,1
9780125980630,2,Elements of probability,5
9780125980630,3,Random numbers,41
9780125980630,4,Generating discrete random variables,49
9780125980630,5,Generating continuous random variables,67
9780125980630,6,The discrete event simulation approach,93
9780125980630,7,Statistical analysis of simulated data,117
9780125980630,8,Variance reduction techniques,137
9780125980630,9,Statistical validation techniques,219
9780125980630,10,Markov chain Monte Carlo methods,245
9780125980630,11,Some additional topics,273
9780125990226,Ch. 1,"Certain classes of sets, measurability, and pointwise approximation",1
9780125990226,Ch. 2,Definition and construction of a measure and its basic properties,29
9780125990226,Ch. 3,Some modes of convergence of sequences of random variables and their relationships,55
9780125990226,Ch. 4,The integral of a random variable and its basic properties,71
9780125990226,Ch. 5,"Standard convergence theorems, the Fubini theorem",89
9780125990226,Ch. 6,"Standard moment and probability inequalities, convergence in the rth mean and its implications",119
9780125990226,Ch. 7,"The Hahn-Jordan decomposition theorem, the Lebesgue decomposition theorem, and the Radon-Nikodym theorem",147
9780125990226,Ch. 8,"Distribution functions and their basic properties, Helly-Bray type results",167
9780125990226,Ch. 9,"Conditional expectation and conditional probability, and related properties and results",187
9780125990226,Ch. 10,Independence,217
9780125990226,Ch. 11,Topics from the theory of characteristic functions,235
9780125990226,Ch. 12,The central limit problem : the centered case,289
9780125990226,Ch. 13,The central limit problem : the noncentered case,325
9780125990226,Ch. 14,Topics from sequences of independent random variables,345
9780125990226,Ch. 15,Topics from ergodic theory,383
9780127519661,Ch. 1,Introduction,3
9780127519661,Ch. 2,Review of probability,7
9780127519661,Ch. 3,Empirical distributions and exploratory data analysis,23
9780127519661,Ch. 4,Parametric probability distributions,71
9780127519661,Ch. 5,Hypothesis testing,131
9780127519661,Ch. 6,Statistical forecasting,179
9780127519661,Ch. 7,Forecast verification,255
9780127519661,Ch. 8,Time series,337
9780127519661,Ch. 9,Matrix algebra and random matrices,403
9780127519661,Ch. 10,The multivariate normal (MVN) distribution,435
9780127519661,Ch. 11,Principal component (EOF) analysis,463
9780127519661,Ch. 12,Canonical correlation analysis (CCA),509
9780127519661,Ch. 13,Discrimination and classification,529
9780127519661,Ch. 14,Cluster analysis,549
9780130125347,1,Introduction to Bayesian Networks,1
9780130125347,2,More DAG/Probability Relationships,69
9780130125347,3,Inference: Discrete Variables,125
9780130125347,4,More Inference Algorithms,183
9780130125347,5,Influence Diagrams,233
9780130125347,6,Parameter Learning: Binary Variables,285
9780130125347,7,More Parameter Learning,373
9780130125347,8,Bayesian Structure Learning,433
9780130125347,9,Approximate Bayesian Structure Learning,503
9780130125347,10,Constraint-Based Learning,533
9780130125347,11,More Structure Learning,609
9780130125347,12,Applications,639
9780130193391,Chapter 1,Introduction to Statistical Analysis,1
9780130193391,Chapter 2,Presenting and Summarizing Data,17
9780130193391,Chapter 3,Central Tendency and Dispersion,33
9780130193391,Chapter 4,Probability and the Normal Curve,55
9780130193391,Chapter 5,The Sampling Distribution and Estimation Procedures,77
9780130193391,Chapter 6,Hypothesis Testing: Interval/Ratio Data,97
9780130193391,Chapter 7,Analysis of Variance,123
9780130193391,Chapter 8,Hypothesis Testing with Categorical Data: Chi-Square Test,147
9780130193391,Chapter 9,Nonparametric Measures of Association,167
9780130193391,Chapter 10,Elaboration of Tabular Data,191
9780130193391,Chapter 11,Bivariate Correlation and Regression,213
9780130193391,Chapter 12,Multivariate Correlation and Regression,237
9780130193391,Chapter 13,Introduction to Logistic Regression,261
9780130193391,Appendix A,Statistical Tables,273
9780130193391,Appendix B,Answers to Odd Numbered Problems,283
9780130200716,1,Introduction to Probability,1
9780130200716,2,Random Variables,58
9780130200716,3,Functions of Random Variables,116
9780130200716,4,Expectation and Introduction to Estimation,169
9780130200716,5,Random Vectors and Parameter Estimation,244
9780130200716,6,Random Sequences,304
9780130200716,7,Random Processes,401
9780130200716,8,Advanced Topics in Random Processes,487
9780130200716,9,Applications to Statistical Signal Processing,552
9780130200716,App. B,Gamma and Delta Functions,658
9780130200716,App. C,Functional Transformations and Jacobians,662
9780130200716,App. E,Sampled Analog Waveforms and Discrete-time Signals,672
9780130272959,1,Introduction,1
9780130272959,2,Sampling and Measurement,12
9780130272959,3,Descriptive Statistics,35
9780130272959,4,Probability Distributions,80
9780130272959,5,Statistical Inference: Estimation,121
9780130272959,6,Statistical Inference: Significance Tests,154
9780130272959,7,Comparison of Two Groups,210
9780130272959,8,Analyzing Association Between Categorical Variables,248
9780130272959,9,Linear Regression and Correlation,301
9780130272959,10,Introduction to Multivariate Relationships,356
9780130272959,11,Multiple Regression and Correlation,382
9780130272959,12,Comparing Groups: Analysis of Variance Methods,438
9780130272959,13,Combining Regression and ANOVA: Analysis of Covariance,490
9780130272959,14,Model Building with Multiple Regression,527
9780130272959,15,Logistic Regression: Modeling Categorical Responses,575
9780130272959,16,Introduction to Advanced Topics,620
9780130272959,App,SAS and SPSS for Statistical Analyses,644
9780130329295,Ch. 1,Introduction,1
9780130329295,Ch. 2,Examining your data,37
9780130329295,Ch. 3,Factor analysis,101
9780130329295,Ch. 4,Multiple regression analysis,169
9780130329295,Ch. 5,Multiple discriminant analysis and logistic regression,269
9780130329295,Ch. 6,Multivariate analysis of variance,383
9780130329295,Ch. 7,Conjoint analysis,459
9780130329295,Ch. 8,Cluster analysis,555
9780130329295,Ch. 9,Multidimensional scaling and correspondence analysis,629
9780130329295,Ch. 10,Structural equation modeling : an introduction,705
9780130329295,Ch. 11,SEM : confirmatory factor analysis,770
9780130329295,Ch. 12,SEM : testing a structural model,843
9780130415219,Ch. 1,Introduction: Statistics and Data,21
9780130415219,Ch. 2,Exploring Data with Graphs and Tables,57
9780130415219,Ch. 3,Exploring Quantitative Data with Numerical Descriptive Measures,128
9780130415219,Ch. 4,Probability: Basic Concepts,191
9780130415219,Ch. 5,Discrete Probability Distributions,237
9780130415219,Ch. 6,Normal Probability Distributions,280
9780130415219,Ch. 7,Estimation of Population Parameters Using Confidence Intervals: One Sample,337
9780130415219,Ch. 8,Testing Hypotheses about Population Parameters: One Sample,388
9780130415219,Ch. 9,Inferences about Population Parameters: Two Samples,450
9780130415219,Ch. 10,Regression Analysis,535
9780130415219,Ch. 11,Analysis of Variance,648
9780130415219,App. E,More about PHStat2,765
9780130417893,Ch. 1,Data Analysis Methodology,1
9780130417893,Ch. 2,Case Study: Software Development Productivity,41
9780130417893,Ch. 3,Case Study: Time to Market,99
9780130417893,Ch. 4,Case Study: Developing a Software Development Cost Model,125
9780130417893,Ch. 5,Case Study: Software Maintenance Cost Drivers,183
9780130417893,Ch. 6,What You Need to Know About Statistics,269
9780130417893,App. A,Raw Software Development Project Data,317
9780130417893,App. B,Validated Software Development Project Data,321
9780130417893,App. C,Validated Software Maintenance Project Data,325
9780130466532,Ch. 1,Introduction,1
9780130466532,Ch. 2,Summarizing data : listing and grouping,15
9780130466532,Ch. 3,Summarizing data : statistical descriptions,46
9780130466532,Ch. 4,Possibilities and probabilities,110
9780130466532,Ch. 5,Some rules of probability,146
9780130466532,Ch. 6,Probability distributions,199
9780130466532,Ch. 7,The normal distribution,236
9780130466532,Ch. 8,Sampling and sampling distributions,264
9780130466532,Ch. 9,Problems of estimation,293
9780130466532,Ch. 10,Tests concerning means,315
9780130466532,Ch. 11,Tests based on count data,366
9780130466532,Ch. 12,Regression and correlation,406
9780130466532,Ch. 13,Nonparametric tests,437
9780131437456,1,Introduction,1
9780131437456,2,Treatment of data,13
9780131437456,3,Probability,53
9780131437456,4,Probability distributions,101
9780131437456,5,Probability densities,146
9780131437456,6,Sampling distributions,203
9780131437456,7,Inferences concerning means,226
9780131437456,8,Inferences concerning variances,281
9780131437456,9,Inferences concerning proportions,292
9780131437456,10,Nonparametric tests,320
9780131437456,11,Curve fitting,337
9780131437456,12,Analysis of variance,397
9780131437456,13,Factorial experimentation,450
9780131437456,14,The statistical content of quality-improvement programs,510
9780131437456,15,Application to reliability and life testing,549
9780131453401,1,Axioms of Probability,1
9780131453401,1.1,Introduction,1
9780131453401,1.2,Sample Space and Events,4
9780131453401,1.3,Axioms of Probability,11
9780131453401,1.4,Basic Theorems,18
9780131453401,1.5,Continuity of Probability Function,27
9780131453401,1.6,Probabilities 0 and 1,29
9780131453401,1.7,Random Selection of Points from Intervals,31
9780131453401,2,Combinatorial Methods,38
9780131453401,2.1,Introduction,38
9780131453401,2.2,Counting Principle,38
9780131453401,2.3,Permutations,47
9780131453401,2.4,Combinations,54
9780131453401,2.5,Stirling's Formula,70
9780131453401,3,Conditional Probability and Independence,75
9780131453401,3.1,Conditional Probability,75
9780131453401,3.2,Law of Multiplication,85
9780131453401,3.3,Law of Total Probability,89
9780131453401,3.4,Bayes' Formula,99
9780131453401,3.5,Independence,106
9780131453401,4,Distribution Functions and Discrete Random Variables,129
9780131453401,4.1,Random Variables,129
9780131453401,4.2,Distribution Functions,134
9780131453401,4.3,Discrete Random Variables,143
9780131453401,4.4,Expectations of Discrete Random Variables,150
9780131453401,4.5,Variances and Moments of Discrete Random Variables,161
9780131453401,4.6,Standardized Random Variables,170
9780131453401,5,Special Discrete Distributions,174
9780131453401,5.1,Bernoulli and Binomial Random Variables,174
9780131453401,5.2,Poisson Random Variable,188
9780131453401,5.3,Other Discrete Random Variables,203
9780131453401,6,Continuous Random Variables,218
9780131453401,6.1,Probability Density Functions,218
9780131453401,6.2,Density Function of a Function of a Random Variable,227
9780131453401,6.3,Expectations and Variances,233
9780131453401,7,Special Continuous Distributions,247
9780131453401,7.1,Uniform Random Variable,247
9780131453401,7.2,Normal Random Variable,254
9780131453401,7.3,Exponential Random Variable,269
9780131453401,7.4,Gamma Distribution,276
9780131453401,7.5,Beta Distribution,281
9780131453401,8,Joint distributions,287
9780131453401,8.1,Bivariate Distributions,287
9780131453401,8.2,Independent Random Variables,305
9780131453401,8.3,Conditional Distributions,316
9780131453401,8.4,Multivariate Distributions,329
9780131453401,8.5,Order Statistics,345
9780131453401,8.6,Multinomial Distributions,352
9780131453401,8.7,Transformations of Two Random Variables,356
9780131453401,9,More Expectations and Variances,367
9780131453401,9.1,Expected Values of Sums of Random Variables,367
9780131453401,9.2,Covariance,383
9780131453401,9.3,Correlation,392
9780131453401,9.4,Conditioning on Random Variables,397
9780131453401,9.5,Bivariate Normal Distribution,408
9780131453401,10,Sums of Independent Random Variables and Limit Theorems,416
9780131453401,10.1,Moment-Generating Functions,416
9780131453401,10.2,Sums of Independent Random Variables,427
9780131453401,10.3,Markov and Chebyshev Inequalities,437
9780131453401,10.4,Laws of Large Numbers,443
9780131453401,10.5,Central Limit Theorem,452
9780131453401,11,Simulation,461
9780131453401,11.1,Introduction,461
9780131453401,11.2,Simulation of Combinatorial Problems,466
9780131453401,11.3,Simulation of Conditional Probabilities,469
9780131453401,11.4,Simulation of Random Variables,473
9780131453401,11.5,Monte Carlo Method,481
9780131465329,Ch. 1,A SAS Tutorial,1
9780131465329,Ch. 2,Describing Data,22
9780131465329,Ch. 3,Analyzing Categorical Data,58
9780131465329,Ch. 4,Working with Date and Longitudinal Data,101
9780131465329,Ch. 5,Correlation and Regression,115
9780131465329,Ch. 6,T-tests and Nonparametric Comparisons,138
9780131465329,Ch. 7,Analysis of Variance,150
9780131465329,Ch. 8,Repeated Measures Designs,181
9780131465329,Ch. 9,Multiple-Regression Analysis,221
9780131465329,Ch. 10,Factor Analysis,250
9780131465329,Ch. 11,Psychometrics,265
9780131465329,Ch. 12,The SAS INPUT Statement,280
9780131465329,Ch. 13,External Files: Reading and Writing Raw and System Files,298
9780131465329,Ch. 14,"Data Set Subsetting, Concatenating, Merging, and Updating",319
9780131465329,Ch. 15,Working with Arrays,329
9780131465329,Ch. 16,Restructuring SAS Data Sets Using Arrays,343
9780131465329,Ch. 17,A Review of SAS Functions: Part I. Functions other than character functions,353
9780131465329,Ch. 18,A Review of SAS Functions: Part II. Character Functions,364
9780131465329,Ch. 19,Selected Programming Examples,382
9780131465329,Ch. 20,Syntax Examples,395
9780131471221,Ch. 1,Probability Models in Electrical and Computer Engineering,1
9780131471221,Ch. 2,Basic Concepts of Probability Theory,23
9780131471221,Ch. 3,Random Variables,84
9780131471221,Ch. 4,Multiple Random Variables,191
9780131471221,Ch. 5,Sums of Random Variables and Long-Term Averages,269
9780131471221,Ch. 6,Random Processes,329
9780131471221,Ch. 7,Analysis and Processing of Random Signals,403
